userId;emotionIndex;index;keyCode;keyDown;keyUp;D1U1;D1U2;D1D2;U1D2;U1U2;D1U3;D1D3;answer
100;N;3448;o;1,58E+12;1,58E+12;90;2556;2479;2389;2466;2737;2610;
100;N;3449;n;1,58E+12;1,58E+12;77;258;131;54;181;744;650;
100;N;3450;c;1,58E+12;1,58E+12;127;613;519;392;486;795;719;
100;N;3451;e;1,58E+12;1,58E+12;94;276;200;106;182;2304;2232;
100;N;3452; ;1,58E+12;1,58E+12;76;2104;2032;1956;2028;2271;2191;
100;N;3453;t;1,58E+12;1,58E+12;72;239;159;87;167;805;669;
100;N;3454;h;1,58E+12;1,58E+12;80;646;510;430;566;1161;1081;
100;N;3455;e;1,58E+12;1,58E+12;136;651;571;435;515;895;762;
100;N;3456;r;1,58E+12;1,58E+12;80;324;191;111;244;454;369;
100;N;3457;e;1,58E+12;1,58E+12;133;263;178;45;130;4729;4670;
100;N;3458; ;1,58E+12;1,58E+12;85;4551;4492;4407;4466;4924;4821;
100;N;3459;w;1,58E+12;1,58E+12;59;432;329;270;373;797;646;
100;N;3460;a;1,58E+12;1,58E+12;103;468;317;214;365;714;617;
100;N;3461;s;1,58E+12;1,58E+12;151;397;300;149;246;1587;1490;
100;N;3462; ;1,58E+12;1,58E+12;97;1287;1190;1093;1190;1460;1369;
100;N;3463;a;1,58E+12;1,58E+12;97;270;179;82;173;582;498;
100;N;3464; ;1,58E+12;1,58E+12;91;403;319;228;312;609;510;
100;N;3465;c;1,58E+12;1,58E+12;84;290;191;107;206;697;636;
100;N;3466;a;1,58E+12;1,58E+12;99;506;445;346;407;715;584;
100;N;3467;t;1,58E+12;1,58E+12;61;270;139;78;209;2459;2348;
100;N;3468; ;1,58E+12;1,58E+12;131;2320;2209;2078;2189;2714;2611;
100;N;3469;a;1,58E+12;1,58E+12;111;505;402;291;394;782;693;
100;N;3470;n;1,58E+12;1,58E+12;103;380;291;188;277;559;453;
100;N;3471;d;1,58E+12;1,58E+12;89;268;162;73;179;1637;1586;
100;N;3472; ;1,58E+12;1,58E+12;106;1475;1424;1318;1369;1714;1624;
100;N;3473;a;1,58E+12;1,58E+12;51;290;200;149;239;615;524;
100;N;3474; ;1,58E+12;1,58E+12;90;415;324;234;325;650;557;
100;N;3475;m;1,58E+12;1,58E+12;91;326;233;142;235;579;490;
100;N;3476;o;1,58E+12;1,58E+12;93;346;257;164;253;580;480;
100;N;3477;u;1,58E+12;1,58E+12;89;323;223;134;234;646;548;
100;N;3478;s;1,58E+12;1,58E+12;100;423;325;225;323;5736;5634;
100;N;3479;e;1,58E+12;1,58E+12;98;5411;5309;5211;5313;6496;6407;
